Código;Município;Densidade demográfica, 2000;Renda per Capita, 2000;Intensidade da pobreza, 2000;Índice de Desenvolvimento Humano Municipal, 2000;Variacao_Populacao_1991_a_2000;Percentual_Populacao_Urbana;Populacao por Supermercados
350950;Campinas (SP);1213.5;614.86;50.06;0.852;0.1448608009334657;0.9833112577316184;492.3291010665312
500270;Campo Grande (MS);81.6;394.71;38.35;0.814;0.2613347373062726;0.9883864434669788;265.4484
330100;Campos dos Goytacazes (RJ);100.6;247.2;38.29;0.752;0.0815833532647691;0.894807967782913;260.22314578005114
430460;Canoas (RS);2331.9;353.17;44.7;0.815;0.1368018777529358;1.0;290.1355450236967
351060;Carapicuíba (SP);9819.1;275.56;51.49;0.793;0.2148162771759247;1.0;701.8248472505092
320130;Cariacica (ES);1133.0;215.2;43.4;0.75;0.1819818703368239;0.9651386897327968;359.9167591564928
260410;Caruaru (PE);271.8;209.76;43.14;0.713;0.1868861050927248;0.8571682030011749;592.6028037383178
410480;Cascavel (PR);118.6;347.01;42.78;0.81;0.2680437411499623;0.9319555445064373;276.62795941375424
150240;Castanhal (PA);130.6;162.25;42.05;0.746;0.3176710329084657;0.9015063645015464;533.7142857142857
351110;Catanduva (SP);361.0;385.1;39.76;0.833;0.1659855252866853;0.9850822413483612;389.1433823529412
230370;Caucaia (CE);209.3;129.23;48.94;0.721;0.5171442588992059;0.9026225751460202;525.1132075471698
210300;Caxias (MA);26.3;104.0;53.7;0.614;0.0640374586013932;0.7404691032943129;443.6698412698413
430510;Caxias do Sul (RS);226.8;490.65;40.61;0.857;0.2388725616567844;0.9250095028286522;436.3426150121065
420420;Chapecó (SC);234.3;341.64;41.39;0.848;0.33653749965897;0.9157974239114904;315.37982832618025
210330;Codó (MA);26.1;76.65;59.36;0.558;0.0801045644927747;0.6756248537959081;424.2213740458016
320150;Colatina (ES);62.9;272.35;37.03;0.773;0.1285545498237743;0.8100185429993523;440.27734375
410580;Colombo (PR);1152.4;236.16;41.51;0.764;0.5567094347312915;0.9543607394356594;322.76232394366195
311830;Conselheiro Lafaiete (MG);275.8;258.21;41.14;0.793;0.1546952020570633;0.967705861760473;371.2490974729242
311860;Contagem (MG);2748.0;280.59;41.85;0.789;0.1966889685667767;0.9912883793634774;420.9835680751174
351300;Cotia (SP);456.2;431.58;51.09;0.826;0.3865317859901538;1.0;659.2345132743363
230420;Crato (CE);93.4;168.05;50.03;0.716;0.1560666821330327;0.8019131166026413;399.412213740458
420460;Criciúma (SC);810.8;407.95;38.19;0.822;0.1607331376301755;0.8980694754136839;486.9142857142857
351350;Cubatão (SP);756.7;267.53;51.65;0.772;0.1884326720505618;0.9940171176910506;1072.3663366336634
510340;Cuiabá (MT);121.1;442.1;40.93;0.821;0.1999265167708093;0.9859024384188552;215.68317715305668
410690;Curitiba (PR);3682.8;619.82;43.76;0.856;0.2070515233434851;1.0;424.4157754010696
351380;Diadema (SP);11608.8;292.4;50.09;0.79;0.1696010639169043;1.0;925.0362694300518
312230;Divinópolis (MG);258.4;327.64;37.52;0.831;0.2145752730057704;0.9674443635098552;619.4006734006734
500370;Dourados (MS);40.2;308.07;39.49;0.788;0.2130030003529828;0.9089354891511922;338.7043121149897
330170;Duque de Caxias (RJ);1655.3;226.14;48.77;0.753;0.161173428209056;0.995964954813684;467.1421686746988
351500;Embu (SP);2941.4;244.2;53.27;0.772;0.3312584140008974;1.0;739.0142348754448
291080;Feira de Santana (BA);359.2;206.99;47.18;0.74;0.183300651745492;0.8976627459460359;515.486602357985
351570;Ferraz de Vasconcelos (SP);4980.3;221.24;50.0;0.772;0.480533660545307;0.991789404187474;722.725888324873
420540;Florianópolis (SC);760.1;701.42;43.26;0.875;0.324835612250032;0.970407373325738;354.3633540372671
230440;Fortaleza (CE);6814.0;306.7;43.73;0.786;0.2107639950990507;1.0;288.01640887693344
410830;Foz do Iguaçu (PR);437.7;326.19;44.33;0.788;0.3598722931996654;0.9921908541325816;325.211320754717
351620;Franca (SP);471.9;359.6;35.45;0.82;0.2344035555860624;0.9807671588985776;279.62779397473275
351630;Francisco Morato (SP);2702.8;175.94;51.33;0.738;0.5943017225964118;0.9987811990608504;747.1396648044692
351640;Franco da Rocha (SP);804.7;245.63;51.84;0.778;0.264067340854621;0.9285344333253176;756.0979020979021
260600;Garanhuns (PE);251.4;167.83;51.51;0.693;0.1394219138580041;0.8784363349157954;289.3095823095823
520870;Goiânia (GO);1467.8;508.3;38.87;0.832;0.18827970163825;0.9934117530811788;213.26965853658533
312770;Governador Valadares (MG);104.8;309.18;42.78;0.772;0.0720402214086168;0.9553556615722026;376.1506849315069
430920;Gravataí (RS);485.5;288.59;43.74;0.811;0.2849946143011019;0.9119413314762992;271.1293706293706
410940;Guarapuava (PR);49.0;292.11;41.32;0.773;0.1431760579983496;0.9132062825065576;215.80111265646727
351840;Guaratinguetá (SP);138.1;401.02;39.94;0.818;0.1328398443444423;0.9514771778658402;312.96996996996995
351870;Guarujá (SP);1854.2;308.41;47.42;0.788;0.2597677527389668;0.9997016751506728;527.5139442231076
351880;Guarulhos (SP);3369.9;343.91;50.64;0.798;0.3634961995068255;0.9785134383066548;557.5452182952183
351907;Hortolândia (SP);2430.6;259.1;48.7;0.79;0.7028547823465707;1.0;1105.2391304347825
312980;Ibirité (MG);1812.3;149.59;44.81;0.729;0.7356659230558491;0.9946709359309702;661.9104477611941
291360;Ilhéus (BA);120.1;170.22;47.9;0.703;-0.0209709764858849;0.7298752515452872;458.9400826446281
210530;Imperatriz (MA);149.8;193.11;42.4;0.722;0.0247150063331926;0.9484182403303176;248.9913606911447
352050;Indaiatuba (SP);471.7;444.93;43.38;0.829;0.4566905733645046;0.9842910574634478;631.1158798283262
313130;Ipatinga (MG);1279.4;307.71;43.05;0.806;0.1800809689618978;0.9924657405315864;389.1868131868132
330190;Itaboraí (RJ);436.4;202.29;46.88;0.737;0.332265033185998;0.945492561833592;392.2154811715481
291480;Itabuna (BA);441.7;207.4;47.75;0.748;0.0615186990290215;0.9720808440320324;282.57902298850576
420820;Itajaí (SC);485.7;387.0;39.69;0.825;0.226785773696643;0.9624120303198774;328.4944320712695
352220;Itapecerica da Serra (SP);850.8;277.24;52.17;0.783;0.5158971361776739;0.9895284728380306;629.5388349514564
352230;Itapetininga (SP);69.7;324.08;39.06;0.786;0.2360359118741508;0.8931020476429408;419.9297658862876
352250;Itapevi (SP);1773.2;207.18;50.86;0.759;0.5357044936702877;1.0;820.3686868686868
352310;Itaquaquecetuba (SP);3322.1;193.01;52.7;0.744;0.6546251447346885;1.0;834.6850152905199
352390;Itu (SP);210.9;421.15;46.79;0.815;0.2614011219412191;0.9156065777226188;573.5847457627119
260790;Jaboatão dos Guararapes (PE);2255.7;235.53;46.21;0.777;0.2240964869814141;0.9775051757698312;479.8316831683168
352440;Jacareí (SP);415.0;353.95;44.16;0.809;0.1673409857874277;0.9586284770323747;588.5876923076924
420890;Jaraguá do Sul (SC);200.7;414.14;36.05;0.85;0.4180827146293004;0.8878319460959175;809.6194029850747
352530;Jaú (SP);162.0;401.56;32.74;0.819;0.1911258447022823;0.9562370655819596;640.5942857142857
291800;Jequié (BA);48.3;140.05;48.69;0.694;0.0167850136766778;0.8851510169698781;415.82485875706215
110012;Ji-Paraná (RO);15.4;269.38;40.41;0.753;0.0603022059845521;0.8521816479400749;178.89447236180905
250750;João Pessoa (PB);2822.2;334.69;41.64;0.783;0.2016358520900321;1.0;441.9320029563932
420910;Joinville (SC);396.6;407.6;43.23;0.857;0.2162126200701524;0.9659407268088752;358.90058479532166
291840;Juazeiro (BA);27.1;175.15;46.0;0.683;0.3556811916096516;0.7634776332296482;354.09127789046653
230730;Juazeiro do Norte (CE);900.0;147.11;46.18;0.697;0.2222036573983383;0.9533028807399132;462.16339869281046
313670;Juiz de Fora (MG);309.9;419.4;36.73;0.828;0.1787584220807538;0.9916943230676276;456.796
352590;Jundiaí (SP);745.5;549.96;46.14;0.857;0.1179801499642201;0.9282924702455496;514.1446740858505
420930;Lages (SC);59.0;335.45;40.93;0.813;0.1063540175689707;0.9739983003767076;348.083885209713
291920;Lauro de Freitas (BA);1887.6;322.43;46.89;0.771;0.6550492682642413;0.95457227658244;525.6620370370371
352690;Limeira (SP);426.9;369.12;42.92;0.814;0.1986619819993262;0.9570480955325522;408.9425287356322
320320;Linhares (ES);32.5;258.48;36.96;0.757;0.1117286449027137;0.8250708152410382;279.4466501240695
411370;Londrina (PR);258.5;439.35;39.81;0.824;0.180603419819106;0.969364633778086;402.03687050359713
521250;Luziânia (GO);35.4;209.95;44.43;0.756;0.7930201819937979;0.9226194695283594;157.80984340044742
330240;Macaé (RJ);108.0;392.94;40.58;0.79;0.408650062743263;0.9512762247001004;412.6510903426792
160030;Macapá (AP);43.1;253.69;47.78;0.772;0.6822116926146282;0.9552430570262752;261.3542435424354
