Código;Município;Área (km²);Densidade demográfica, 2000;Distância à capital (km);Esperança de vida ao nascer, 2000;Taxa de fecundidade total, 2000;Renda per Capita, 2000;Índice de Gini, 2000;Intensidade da indigência, 2000;Intensidade da pobreza, 2000;Índice de Desenvolvimento Humano Municipal, 2000;Taxa bruta de freqüência à escola, 2000;Taxa de alfabetização, 2000;Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000;Populacao;QTD_TOTAL_CNPJ_SUPERMERCADO;Variacao_Populacao_1991_a_2000;Percentual_Populacao_65_anos;Percentual_Populacao_Urbana;Populacao por Supermercados;cluster
350280;Araçatuba (SP);1170.5;144.6;468.7514409;74.52;1.79;503.17;0.63;54.48;35.88;0.848;85.35;93.7;7.18;169254;314.0;0.109505798136992;0.0753246599784938;0.9716107152563602;539.0254777070064;2
170210;Araguaína (TO);3920.1;28.8;330.9825693;67.46;2.76;211.51;0.62;53.23;45.06;0.749;88.74;86.59;5.71;113143;699.0;0.2606462395543176;0.0395252026196936;0.93575386899764;161.86409155937054;2
310350;Araguari (MG);2741.0;37.0;462.4720875;73.92;2.04;321.88;0.55;53.03;36.22;0.815;82.02;93.13;6.21;101974;408.0;0.1171192883669467;0.0655363131778688;0.9095259575970346;249.93627450980392;2
270030;Arapiraca (AL);367.5;506.5;101.8724956;64.01;3.31;129.21;0.59;48.71;49.99;0.656;81.08;69.6;3.99;186466;817.0;0.1306383056129905;0.0483787929166711;0.8170604828762348;228.2325581395349;0
350320;Araraquara (SP);1008.6;180.4;250.8341727;72.17;2.35;441.88;0.53;59.37;42.36;0.83;84.96;94.8;7.35;182471;414.0;0.1438180131387594;0.0802867304941607;0.9512141655386336;440.7512077294686;2
350330;Araras (SP);645.1;161.5;152.8807345;74.61;2.0;377.92;0.5;50.85;38.42;0.828;82.34;93.0;6.35;104196;231.0;0.1913696703598257;0.0672866520787746;0.9391915236669354;451.0649350649351;2
350410;Atibaia (SP);479.3;231.7;48.68993286;73.08;2.24;446.24;0.57;64.69;35.36;0.819;75.79;92.0;6.34;111300;265.0;0.2891493699036322;0.067843665768194;0.8703863432165319;420.0;2
520025;Águas Lindas de Goiás (GO);191.9;549.1;145.3901733;68.58;3.72;150.35;0.46;56.31;43.98;0.717;70.02;87.24;4.8;105746;189.0;3.439565053108863;0.0148374406596939;0.998458570536947;559.5026455026455;1
430160;Bagé (RS);5674.1;20.9;310.4581226;72.16;2.22;295.2;0.59;46.72;42.37;0.802;84.88;92.26;6.82;118767;630.0;0.0969014084507042;0.0836090833312283;0.8191669403117028;188.51904761904763;2
310560;Barbacena (MG);790.1;144.2;157.7094753;72.47;1.93;284.79;0.58;37.68;37.74;0.798;83.48;91.47;6.4;114126;290.0;0.1417852212017527;0.0672765189352119;0.908373201549165;393.5379310344828;2
