Código;Município;Área (km²);Densidade demográfica, 2000;Distância à capital (km);Esperança de vida ao nascer, 2000;Taxa de fecundidade total, 2000;Renda per Capita, 2000;Índice de Gini, 2000;Intensidade da indigência, 2000;Intensidade da pobreza, 2000;Índice de Desenvolvimento Humano Municipal, 2000;Taxa bruta de freqüência à escola, 2000;Taxa de alfabetização, 2000;Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000;População total, 2000;QTD_TOTAL_CNPJ_SUPERMERCADO;Variacao_Populacao_1991_a_2000;Percentual_Populacao_65_anos;Percentual_Populacao_Urbana;Supermercados per Capita
430060;Alvorada (RS);72.9;2516.1;14.83869815;69.98;2.8;214.75;0.45;56.91;40.6;0.768;77.4;94.01;5.86;183968;636.0;0.2951297467017726;0.03937097756131501;0.9967222560445295;0.0034571229779092015
110034;Alvorada d'Oeste (RO);2982.2;6.6;337.5145428;65.16;2.87;162.11;0.65;55.5;55.48;0.694;69.17;84.11;3.58;19832;27.0;-0.018460777035387288;0.03766639774102461;0.4309197256958451;0.0013614360629286002
310240;Alvorada de Minas (MG);376.1;9.3;135.1724919;69.59;4.67;99.62;0.65;50.05;57.21;0.667;71.15;71.9;3.03;3527;12.0;-0.09401489853583356;0.0711652962857953;0.3201020697476609;0.003402324922030054
220045;Alvorada do Gurguéia (PI);2342.1;1.8;385.8827513;57.67;3.95;73.46;0.6;47.78;57.7;0.574;78.96;63.62;2.83;4211;2.0;-0.09167385677308026;0.046544763714082164;0.35122298741391594;0.0004749465685110425
520080;Alvorada do Norte (GO);1296.6;5.8;383.4585181;64.81;2.32;150.83;0.6;46.28;46.74;0.688;82.39;77.6;4.07;7560;95.0;0.02286564740901098;0.047619047619047616;0.8977513227513227;0.012566137566137565
410080;Alvorada do Sul (PR);419.9;22.1;354.9808114;70.4;2.46;214.32;0.52;41.77;31.11;0.757;83.15;85.37;4.97;9253;31.0;-0.044605059370160016;0.07910947800713282;0.7581324975683562;0.0033502647789905977
140002;Amajari (RR);28598.4;0.2;120.5980657;68.47;4.96;93.41;0.64;65.04;63.4;0.654;68.55;71.84;3.31;5294;1.0;0.4460529909860693;0.04080090668681526;0.15092557612391386;0.00018889308651303362
500060;Amambai (MS);4212.3;7.0;301.6853053;72.16;2.8;229.54;0.63;45.66;43.23;0.759;76.62;83.15;4.57;29484;205.0;0.13614118916419415;0.05318138651471985;0.638244471577805;0.006952923619590286
160010;Amapá (AP);9203.5;0.8;225.8414559;68.68;6.17;135.43;0.61;46.61;54.43;0.72;86.22;82.84;4.58;7121;59.0;0.6822584455468934;0.03454570987220896;0.8316247718017132;0.008285353180733044
210055;Amapá do Maranhão (MA);951.5;5.7;209.9293686;59.61;5.49;64.65;0.56;49.36;56.97;0.572;79.94;60.61;2.06;5431;4.0;0.17885825917082698;0.024857300681274168;0.7326459215614067;0.0007365126127784938
410090;Amaporã (PR);390.0;12.0;440.3561255;66.99;2.94;172.02;0.54;44.16;38.8;0.709;75.39;81.37;4.65;4655;15.0;0.17907801418439706;0.06423200859291085;0.7705692803437164;0.00322234156820623
260090;Amaraji (PE);238.8;89.3;72.7592718;66.3;3.63;79.13;0.52;48.07;53.16;0.617;73.22;62.65;3.0;21309;44.0;0.0656098414762214;0.05481252053123094;0.6748791590407809;0.0020648552254915764
430063;Amaral Ferrador (RS);506.6;11.3;135.4849883;68.82;2.93;184.2;0.51;31.89;39.43;0.727;74.77;83.99;3.48;5740;22.0;-0.029913807672807158;0.07891986062717771;0.1970383275261324;0.003832752613240418
520082;Amaralina (GO);1418.1;2.2;305.9480666;63.33;3.11;89.31;0.62;44.71;51.33;0.648;80.98;77.0;3.14;3074;4.0;-0.18955971526496174;0.052374756018217304;0.38093689004554326;0.0013012361743656475
220050;Amarante (PI);1336.8;12.6;128.1443208;66.99;2.73;78.48;0.57;45.83;57.3;0.63;77.26;64.65;3.59;16884;31.0;0.021539206195547056;0.07444918265813788;0.5280739161336176;0.00183605780620706
210060;Amarante do Maranhão (MA);7210.2;4.3;432.38429;61.55;3.51;57.76;0.62;64.91;65.06;0.582;72.54;67.0;2.62;31292;47.0;0.35451476062678555;0.03972261280838553;0.3457113639268823;0.0015019813370829606
290100;Amargosa (BA);437.6;70.3;118.6305324;64.85;2.46;123.57;0.57;44.37;47.85;0.662;79.61;71.98;3.71;31108;49.0;0.10996931420823519;0.0964060691783464;0.6713385624276713;0.0015751575157515751
130006;Amaturá (AM);4780.1;1.9;907.2023568;67.05;6.23;68.12;0.69;72.02;67.82;0.631;66.67;73.7;3.32;7308;6.0;0.5424229632756437;0.03284072249589491;0.5377668308702791;0.0008210180623973727
350160;Americana (SP);133.9;1359.9;114.560278;72.46;1.96;473.23;0.5;77.52;43.66;0.84;87.15;95.62;6.93;182593;348.0;0.18690197607904313;0.06957550398974768;0.9976231290356147;0.0019058781004748265
520085;Americano do Brasil (GO);134.0;35.1;90.85456045;68.61;2.52;204.95;0.63;41.39;39.3;0.732;79.85;81.26;4.14;4933;17.0;0.014811767126105657;0.07054530711534564;0.8343807013987432;0.0034461787958645854
430064;Ametista do Sul (RS);75.9;97.7;352.6247452;71.91;3.63;198.62;0.58;43.9;41.59;0.754;75.76;85.64;4.32;7414;4.0;0.11589403973509937;0.05206366333962773;0.43094146209873213;0.0005395198273536552
290110;Amélia Rodrigues (BA);153.2;157.6;69.64661974;64.79;2.38;125.66;0.58;45.6;47.77;0.695;86.15;83.0;4.68;24134;43.0;0.05948461302076469;0.05813375321123726;0.7881826468882075;0.0017817187370514627
290115;América Dourada (BA);748.1;21.3;359.5616698;56.32;3.29;65.05;0.56;58.18;59.61;0.564;72.68;68.88;2.84;15959;12.0;-0.0003758221108675075;0.049627169622156776;0.6358794410677361;0.0007519268124569208
350170;Américo Brasiliense (SP);123.8;228.5;252.3556867;73.19;2.35;242.09;0.48;63.7;47.06;0.788;81.84;89.82;5.14;28287;30.0;0.40962774704739124;0.03793261922437869;0.9771626542227878;0.0010605578534309047
350180;Américo de Campos (SP);254.6;22.0;481.8232332;71.79;1.95;252.69;0.51;39.25;24.34;0.774;79.16;87.3;4.89;5594;17.0;0.0007155635062612298;0.09295673936360387;0.7844118698605649;0.0030389703253485877
230075;Amontada (CE);1581.9;20.5;117.5342334;64.87;4.23;62.77;0.72;70.4;71.17;0.616;89.18;63.43;2.45;32333;18.0;0.2850443146138866;0.06426870380107011;0.3650140723100238;0.0005567067701728884
520090;Amorinópolis (GO);409.9;10.1;196.0021;68.79;2.42;177.85;0.55;42.89;38.86;0.732;85.54;81.37;4.28;4145;32.0;-0.06391147244805784;0.07478890229191798;0.5884197828709288;0.007720144752714113
250073;Amparo (PB);126.5;14.9;247.7371137;62.13;3.07;75.58;0.5;44.61;51.54;0.603;77.6;65.56;2.82;1886;;0.02056277056277067;0.06521739130434782;0.3282078472958643;
350190;Amparo (SP);447.1;135.1;95.02323264;69.76;1.85;445.34;0.54;68.46;36.91;0.806;78.53;92.91;6.4;60404;73.0;0.18912534204775877;0.08138533871929012;0.717783590490696;0.0012085292364744057
280010;Amparo de São Francisco (SE);39.8;54.8;87.72290173;59.06;2.48;82.64;0.58;52.79;57.82;0.602;79.57;69.22;3.1;2182;1.0;0.15388683236382872;0.06416131989000917;0.5522456461961504;0.00045829514207149406
310250;Amparo do Serra (MG);146.2;37.5;142.6301648;67.42;2.85;117.93;0.57;43.64;44.31;0.675;69.42;77.5;3.18;5477;;-0.12114890885750962;0.09457732335220011;0.45754975351469784;
410100;Ampére (PR);303.0;51.6;424.0839294;73.52;2.72;234.61;0.58;46.79;38.19;0.793;87.48;89.38;4.67;15623;66.0;0.1823961250283812;0.054919029635793384;0.6658772322857326;0.004224540741214876
270020;Anadia (AL);190.3;93.7;62.36006929;64.65;2.88;85.3;0.6;49.39;55.02;0.609;79.33;57.99;2.75;17849;34.0;0.09255065189447276;0.05899490167516387;0.5102806879937252;0.0019048686200907614
290120;Anagé (BA);1859.3;21.9;336.8847238;63.89;2.76;61.94;0.57;61.69;62.41;0.586;71.29;61.36;1.6;31060;60.0;-0.2523589447332948;0.06922086284610432;0.13547971667739858;0.0019317450096587251
410105;Anahy (PR);107.4;27.8;391.6105888;68.04;2.54;152.14;0.55;41.66;45.98;0.725;84.4;84.64;4.38;3011;1.0;-0.14167616875712652;0.07173696446363334;0.5446695450016605;0.00033211557622052476
210070;Anajatuba (MA);1137.6;20.1;88.82561465;61.19;4.91;50.62;0.52;51.26;61.45;0.567;73.93;63.39;2.45;22978;28.0;0.17666939778779178;0.06427887544607885;0.2607711724257986;0.001218556880494386
150070;Anajás (PA);7022.2;2.6;167.8282971;68.99;6.82;89.82;0.56;45.3;46.99;0.595;57.37;50.63;1.52;18322;23.0;0.28269392327079257;0.03220172470254339;0.25177382381836044;0.0012553214714550814
350200;Analândia (SP);327.5;10.9;189.8125123;73.3;2.66;293.03;0.5;33.88;29.65;0.804;81.7;92.03;5.74;3582;10.0;0.18609271523178816;0.07091010608598548;0.7398101619207147;0.0027917364600781687
130008;Anamã (AM);2464.8;2.7;161.9325687;63.05;4.7;96.83;0.67;59.48;63.98;0.637;70.03;76.08;3.04;6563;;0.08947543160690574;0.03489257961298187;0.3144903245467012;
170100;Ananás (TO);1398.0;7.5;423.333334;64.51;3.37;117.93;0.56;44.96;45.94;0.667;81.55;75.15;3.68;10512;87.0;0.2672694394213382;0.04347412480974125;0.7987062404870624;0.008276255707762557
150080;Ananindeua (PA);191.4;2053.0;17.74911361;72.19;2.35;187.79;0.54;50.21;44.05;0.782;84.7;94.57;7.01;393569;640.0;0.6100711007110071;0.028040826386224526;0.9976065188061052;0.0016261443355548837
150085;Anapu (PA);11951.7;0.8;373.6627696;67.63;4.49;112.91;0.64;71.94;66.1;0.645;59.42;69.77;2.31;9407;24.0;-0.27749615975422426;0.022217497608164133;0.3277346656744977;0.00255129159136813
210080;Anapurus (MA);613.5;16.4;182.8915949;59.38;4.3;97.63;0.71;54.33;61.7;0.592;78.45;60.59;2.85;10280;27.0;0.003024685335154542;0.05087548638132296;0.447568093385214;0.002626459143968872
500070;Anastácio (MS);2957.5;7.6;120.9547127;68.07;2.83;165.71;0.59;51.18;44.51;0.725;78.98;84.99;4.28;22477;75.0;0.12723169508525567;0.06121813409262802;0.7681630110779908;0.0033367442274324865
500080;Anaurilândia (MS);3405.4;2.3;278.258254;67.69;2.36;183.74;0.54;50.76;42.13;0.72;78.21;81.6;3.84;7955;25.0;0.09422283356258587;0.05945945945945946;0.5556253928346951;0.0031426775612822125
520110;Anápolis (GO);1078.2;266.8;50.58020377;70.24;2.24;293.89;0.57;50.41;38.41;0.788;84.35;91.17;6.18;288085;967.0;0.20347316796029702;0.04961382925178333;0.9725046427269729;0.0033566482114653663
320040;Anchieta (ES);418.1;45.7;62.37303017;72.02;2.41;227.8;0.55;46.31;43.3;0.785;88.16;89.6;5.53;19176;61.0;0.2840498192044998;0.06085732165206508;0.6889340842720066;0.0031810596579057156
420080;Anchieta (SC);229.9;31.0;487.6643069;74.76;3.0;151.72;0.49;39.85;43.17;0.769;82.69;88.69;4.5;7133;25.0;-0.10299295774647887;0.06042338427029301;0.34249263984298334;0.0035048366746109633
290130;Andaraí (BA);1902.4;7.3;306.0045035;55.77;4.8;82.38;0.67;57.09;59.86;0.569;76.97;64.24;2.45;13884;93.0;-0.028071403570178455;0.06280610774992798;0.5161336790550274;0.006698357821953328
410110;Andirá (PR);235.0;92.2;281.3298652;67.89;2.65;237.67;0.53;42.61;33.5;0.742;75.69;85.72;5.02;21663;63.0;0.10615808823529416;0.07039652864330886;0.9198633614919448;0.0029081844619858743
290135;Andorinha (BA);1212.5;13.0;325.3343209;58.97;3.0;76.26;0.6;55.13;60.35;0.57;73.76;60.41;2.0;15774;13.0;-0.08130460104834014;0.07429948015722074;0.27481932293647776;0.0008241409915050082
310260;Andradas (MG);468.7;69.8;368.899009;76.07;2.45;360.23;0.55;72.65;33.33;0.812;73.19;87.92;4.72;32968;51.0;0.1617859534129753;0.07931933996602766;0.7306175685513225;0.001546954622664402
350210;Andradina (SP);962.7;57.3;569.9139606;70.77;1.98;358.05;0.59;49.4;38.31;0.798;81.78;90.55;6.31;55161;216.0;0.05251006506516065;0.08096299922046374;0.9215931545838545;0.003915810083210965
310280;Andrelândia (MG);1007.1;12.2;216.8076507;68.52;2.68;207.21;0.61;43.37;40.14;0.733;71.87;85.7;4.85;12310;14.0;-0.014963591261902831;0.08643379366368806;0.7763606823720552;0.0011372867587327376
430066;André da Rocha (RS);333.2;3.3;159.2536919;73.83;2.05;298.74;0.48;20.0;27.48;0.815;87.22;92.33;5.25;1113;6.0;0.06303724928366772;0.09883198562443846;0.3360287511230907;0.005390835579514825
